source,target,method_id,scope,held_out_group,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,fixed_draw_count,valid_draw_count,invalid_draw_count,valid_draw_fraction,original_metric_status
a1_3,success,B0,macro,,ap,0.2994047619047619,0.32614660806851475,0.2209033764367816,0.46073804909560706,0.23983467265882547,10000,10000,0,1.0,ok
a1_3,success,B0,macro,,f1,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B0,macro,,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B1,macro,,ap,0.2994047619047619,0.32614660806851475,0.2209033764367816,0.46073804909560706,0.23983467265882547,10000,10000,0,1.0,ok
a1_3,success,B1,macro,,f1,0.44006026876773596,0.47036498534786203,0.3486345234241273,0.6172339320222577,0.2685994085981304,10000,10000,0,1.0,ok
a1_3,success,B1,macro,,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B2,macro,,ap,0.4798096424543246,0.5347621526141066,0.3824526449927059,0.7357529687921065,0.3533003237994006,10000,10000,0,1.0,ok
a1_3,success,B2,macro,,f1,0.5173043038079567,0.5446706907958353,0.3918021708124448,0.7105885301489017,0.3187863593364569,10000,10000,0,1.0,ok
a1_3,success,B2,macro,,ap_lift,0.18040488054956272,0.2094505748821141,0.10839777834625249,0.34357566863044275,0.23517789028419028,10000,10000,0,1.0,ok
a1_3,success,B3,macro,,ap,0.42285687836068825,0.48850022281487615,0.3161812628486011,0.6463140155958754,0.3301327527472743,10000,10000,0,1.0,ok
a1_3,success,B3,macro,,f1,0.3919445166830967,0.4172494172494172,0.28614387447372214,0.5642153679653679,0.2780714934916457,10000,10000,0,1.0,ok
a1_3,success,B3,macro,,ap_lift,0.12345211645592635,0.15539249102997077,0.021790961941276832,0.2965532080446981,0.27476224610342126,10000,10000,0,1.0,ok
a1_3,side_effect,B0,macro,,ap,0.06954022988505747,0.07365900383141762,0.03371212121212121,0.1321608527131783,0.09844873150105708,10000,9855,145,0.9855,ok
a1_3,side_effect,B0,macro,,f1,0.0,0.0,0.0,0.0,0.0,10000,9855,145,0.9855,ok
a1_3,side_effect,B0,macro,,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,9855,145,0.9855,ok
a1_3,side_effect,B1,macro,,ap,0.06954022988505747,0.07365900383141762,0.03371212121212121,0.1321608527131783,0.09844873150105708,10000,9855,145,0.9855,ok
a1_3,side_effect,B1,macro,,f1,0.07278742762613731,0.07278742762613731,0.03225806451612903,0.14285714285714285,0.11059907834101382,10000,9855,145,0.9855,ok
a1_3,side_effect,B1,macro,,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,9855,145,0.9855,ok
a1_3,side_effect,B2,macro,,ap,0.06044294222122107,0.07329580169328793,0.03647448759093447,0.14777992281276386,0.1113054352218294,10000,9855,145,0.9855,ok
a1_3,side_effect,B2,macro,,f1,0.0698005698005698,0.07148407148407149,0.0,0.1531491397158563,0.1531491397158563,10000,9855,145,0.9855,ok
a1_3,side_effect,B2,macro,,ap_lift,-0.009097287663836396,3.918638154990171e-05,-0.016386626055958118,0.03603112040644037,0.05241774646239848,10000,9855,145,0.9855,ok
a1_3,side_effect,B3,macro,,ap,0.11194123811143843,0.1537878787878788,0.07216270090783845,0.349988337767026,0.27782563685918754,10000,9855,145,0.9855,ok
a1_3,side_effect,B3,macro,,f1,0.1167464114832536,0.11684587813620073,0.02197802197802198,0.24956571633465072,0.22758769435662873,10000,9855,145,0.9855,ok
a1_3,side_effect,B3,macro,,ap_lift,0.04240100822638096,0.07414114525915769,0.01220644628864033,0.26856518079344155,0.25635873450480123,10000,9855,145,0.9855,ok
a1_3,looping,B0,macro,,ap,0.446780303030303,0.44753787878787876,0.3575710227272727,0.5337121212121212,0.1761410984848485,10000,10000,0,1.0,ok
a1_3,looping,B0,macro,,f1,0.148,0.148,0.10714285714285714,0.18115942028985507,0.07401656314699794,10000,10000,0,1.0,ok
a1_3,looping,B0,macro,,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,looping,B1,macro,,ap,0.446780303030303,0.44753787878787876,0.3575710227272727,0.5337121212121212,0.1761410984848485,10000,10000,0,1.0,ok
a1_3,looping,B1,macro,,f1,0.6087677324338449,0.6054188062679118,0.510707423857329,0.687026953343907,0.17631952948657792,10000,10000,0,1.0,ok
a1_3,looping,B1,macro,,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,looping,B2,macro,,ap,0.8508412981380737,0.8672714507268957,0.7683832580258226,0.9490305303446198,0.18064727231879718,10000,10000,0,1.0,ok
a1_3,looping,B2,macro,,f1,0.8645200477871592,0.8629541673090053,0.8015521162737405,0.9168206822398047,0.11526856596606427,10000,10000,0,1.0,ok
a1_3,looping,B2,macro,,ap_lift,0.4040609951077707,0.41651388997396915,0.33362868486338715,0.5056523707256393,0.17202368586225214,10000,10000,0,1.0,ok
a1_3,looping,B3,macro,,ap,0.7041972996375203,0.7173992669085234,0.5828284702718806,0.827032599537738,0.24420412926585744,10000,10000,0,1.0,ok
