target,role,method_id,threshold,eligible_n,positive_n,negative_n,prevalence,task_group_n,pooled_average_precision,pooled_ap_lift,positive_f1,precision,recall,f2,roc_auc,balanced_accuracy,mcc,macro_benchmark_ap,macro_benchmark_f1,macro_ap_valid_benchmarks,macro_f1_valid_benchmarks
success,confirmatory_primary,FINAL_SUCCESS_B2,0.55000000000000004,1097,291,806,0.2652689152233364,300,0.65483617599915878,0.38956726077582238,0.6820987654320988,0.61904761904761907,0.75945017182130581,0.72649572649572647,0.83835580227332807,0.79535784025308465,0.55659916028798229,0.58188223659059612,0.60531151928188243,4,4
looping,confirmatory_primary,FINAL_LOOPING_B2,0.55000000000000004,1095,577,518,0.52694063926940637,300,0.92176938453725654,0.39482874526785017,0.87698744769874482,0.84789644012944987,0.90814558058925476,0.89542036910457967,0.92650709635111717,0.86333919956103666,0.73171441381708247,0.86891267151177287,0.84969737627273201,4,4
side_effect,exploratory_only,FINAL_SIDE_EFFECT_B4,0.40000000000000002,1102,71,1031,0.064428312159709622,300,0.10727900983026536,0.042850697670555743,0.16858237547892721,0.11578947368421053,0.30985915492957744,0.2320675105485232,0.66607013565388451,0.57345528066556462,0.095485473379312555,0.099925268236307582,0.11667835710388902,4,4
