target,held_out_group,variant_id,delta_AP,delta_F1,delta_AP_lift,macro_delta_AP,macro_delta_F1,pooled_delta_AP,pooled_delta_F1,retained_AP_lift_ratio,mixed_domain_ap_decline_count,mixed_domain_count,domains_with_ap_decline_gte_0p05,frozen_dependency_classification
success,assistantbench,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,0,reference
success,visualwebarena,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,0,reference
success,webarena,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,0,reference
success,workarena,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,0,reference
success,assistantbench,S1_no_termination,0.22643288084464555,0.07608695652173914,0.22643288084464558,0.038348375510390664,0.009000409996757108,-0.034938617631940505,0.013173550909399978,0.7806465823697928,3,4,0,moderate_dependency
success,visualwebarena,S1_no_termination,-0.021900376312141034,0.08754208754208748,-0.021900376312141034,0.038348375510390664,0.009000409996757108,-0.034938617631940505,0.013173550909399978,0.7806465823697928,3,4,0,moderate_dependency
success,webarena,S1_no_termination,-0.01882697348443274,-0.007824726134585291,-0.01882697348443274,0.038348375510390664,0.009000409996757108,-0.034938617631940505,0.013173550909399978,0.7806465823697928,3,4,0,moderate_dependency
success,workarena,S1_no_termination,-0.03231202900650909,-0.11980267794221278,-0.03231202900650909,0.038348375510390664,0.009000409996757108,-0.034938617631940505,0.013173550909399978,0.7806465823697928,3,4,0,moderate_dependency
success,assistantbench,S2_no_repetition,0.0037878787878787845,0.007905138339920958,0.0037878787878787845,0.0250416566209139,0.03385460672595386,-0.013515703837076176,0.026495383380168658,0.915145016337737,1,4,0,limited_dependency
success,visualwebarena,S2_no_repetition,0.004166666666666652,0.16161616161616155,0.004166666666666652,0.0250416566209139,0.03385460672595386,-0.013515703837076176,0.026495383380168658,0.915145016337737,1,4,0,limited_dependency
success,webarena,S2_no_repetition,-0.003963504749808666,-0.0008802816901408717,-0.003963504749808666,0.0250416566209139,0.03385460672595386,-0.013515703837076176,0.026495383380168658,0.915145016337737,1,4,0,limited_dependency
success,workarena,S2_no_repetition,0.0961755857789186,-0.03322259136212624,0.0961755857789186,0.0250416566209139,0.03385460672595386,-0.013515703837076176,0.026495383380168658,0.915145016337737,1,4,0,limited_dependency
success,assistantbench,S3_no_activity_volume,0.482843137254902,0.11180124223602483,0.48284313725490197,0.16543648580777742,0.07186392927475005,-0.028112869549745012,0.0591194968553459,0.8235003433710192,0,4,0,limited_dependency
success,visualwebarena,S3_no_activity_volume,0.1425833425833426,0.1298701298701298,0.1425833425833426,0.16543648580777742,0.07186392927475005,-0.028112869549745012,0.0591194968553459,0.8235003433710192,0,4,0,limited_dependency
success,webarena,S3_no_activity_volume,0.0033854710180724057,-0.03706449221645669,0.0033854710180724057,0.16543648580777742,0.07186392927475005,-0.028112869549745012,0.0591194968553459,0.8235003433710192,0,4,0,limited_dependency
success,workarena,S3_no_activity_volume,0.032933992374792886,0.08284883720930236,0.032933992374792886,0.16543648580777742,0.07186392927475005,-0.028112869549745012,0.0591194968553459,0.8235003433710192,0,4,0,limited_dependency
success,assistantbench,S4_no_error,0.04534313725490194,0.048309178743961345,0.04534313725490194,0.016131222990994565,0.0016170526133997276,0.061457814211395345,0.0034232943237003655,1.3858475950413023,1,4,0,limited_dependency
success,visualwebarena,S4_no_error,0.0,0.0,0.0,0.016131222990994565,0.0016170526133997276,0.061457814211395345,0.0034232943237003655,1.3858475950413023,1,4,0,limited_dependency
