target,method_id,selected_config_id,threshold,positive_f1,precision,recall,selected
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.3,0.25396825396825395,0.1568627450980392,0.6666666666666666,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.35,0.2962962962962963,0.19047619047619047,0.6666666666666666,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.4,0.32558139534883723,0.22580645161290322,0.5833333333333334,True
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.45,0.25806451612903225,0.21052631578947367,0.3333333333333333,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.5,0.08,0.07692307692307693,0.08333333333333333,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.55,0.1111111111111111,0.16666666666666666,0.08333333333333333,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.6,0.0,0.0,0.0,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.65,0.0,0.0,0.0,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.7,0.0,0.0,0.0,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.75,0.0,0.0,0.0,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.8,0.0,0.0,0.0,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.85,0.0,0.0,0.0,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.9,0.0,0.0,0.0,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,0.95,0.0,0.0,0.0,False
