target,baseline_id,valid_domain_count,excluded_single_class_domain_count,pr_auc_average_precision_macro_mean,pr_auc_average_precision_macro_std,positive_f1_macro_mean,positive_f1_macro_std,roc_auc_macro_mean,roc_auc_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f2_macro_mean,f2_macro_std,balanced_accuracy_macro_mean,balanced_accuracy_macro_std,mcc_macro_mean,mcc_macro_std,ap_lift_macro_mean,ap_lift_macro_std
success,B0,4,0,0.2994047619047619,0.17051536971086848,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
success,B1,4,0,0.2994047619047619,0.17051536971086848,0.44006026876773596,0.21236297432935544,0.5,0.0,0.2994047619047619,0.17051536971086848,1.0,0.0,0.6309276427962489,0.223068554915404,0.5,0.0,0.0,0.0,0.0,0.0
success,B2,4,0,0.4798096424543246,0.2895629311918839,0.5173043038079567,0.23927443520989905,0.6592942917513069,0.17688969569194612,0.4679218426501035,0.29195067281436543,0.787719298245614,0.1533859157501361,0.5923535663675012,0.1659623448939108,0.6764504392063627,0.0777490074312633,0.33651370726914237,0.1654095089509222,0.18040488054956272,0.16047781419529725
success,B3,4,0,0.42285687836068825,0.21679240122617022,0.39194451668309677,0.20679252070378226,0.5711472975056366,0.2848548137538271,0.30289855072463767,0.16337754289402567,0.7991666666666667,0.34833333333333333,0.5187333743589392,0.2536472826733815,0.49492231638418077,0.02638847897459205,-0.04085391309422625,0.1137775465754815,0.12345211645592635,0.2311447136504598
side_effect,B0,3,1,0.06954022988505747,0.03165096508738934,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
side_effect,B1,3,1,0.06954022988505747,0.03165096508738934,0.07278742762613731,0.07725587711388333,0.5,0.0,0.03888888888888889,0.041943524640393054,0.6666666666666666,0.5773502691896257,0.15318627450980393,0.15634008360506219,0.5,0.0,0.0,0.0,0.0,0.0
side_effect,B2,3,1,0.06044294222122107,0.026519202192098308,0.0698005698005698,0.07790603369729526,0.24752655317910666,0.04806172644266062,0.03968253968253968,0.04180814981290769,0.375,0.5448623679425842,0.13194444444444445,0.16182194719070894,0.4121471700858432,0.07959792802046663,-0.08521465843028726,0.07406273829483923,-0.009097287663836396,0.011239968808215192
side_effect,B3,3,1,0.11194123811143843,0.0534736600025241,0.11674641148325358,0.1013270162063085,0.5432357181593322,0.08907456735675091,0.06768837803320561,0.0593972717968505,0.5,0.5,0.21008403361344538,0.18314701443448209,0.5227272727272727,0.039364791081110816,0.0259499648053841,0.044946657497549475,0.04240100822638096,0.026090381603461055
looping,B0,4,0,0.446780303030303,0.1338508308486945,0.148,0.296,0.5,0.0,0.10511363636363637,0.21022727272727273,0.25,0.5,0.19597457627118645,0.3919491525423729,0.5,0.0,0.0,0.0,0.0,0.0
looping,B1,4,0,0.446780303030303,0.1338508308486945,0.6087677324338449,0.12796302627376763,0.5,0.0,0.446780303030303,0.1338508308486945,1.0,0.0,0.7888054586241277,0.08933420838993973,0.5,0.0,0.0,0.0,0.0,0.0
looping,B2,4,0,0.8508412981380737,0.08278368845096613,0.8645200477871592,0.045058465657930764,0.9050200105187317,0.07427274828721275,0.8097222222222222,0.04015786748555823,0.928044928044928,0.060233814740735546,0.9014480826418377,0.05278352604710922,0.8694506888240904,0.03248039148392145,0.749284507646399,0.03700649216984018,0.4040609951077707,0.20763407398133504
looping,B3,4,0,0.7041972996375203,0.1321240031986926,0.6308659815536469,0.09389678423680949,0.7380009854434406,0.09120160477337035,0.4736648606811146,0.09805085517195407,0.9594594594594594,0.08108108108108109,0.7919971674567263,0.08161638472048448,0.545906200317965,0.10716564273493455,0.08693321886447548,0.2186478981904705,0.25741699660721723,0.12555277900037984
