source,target,method_id,scope,held_out_group,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,fixed_draw_count,valid_draw_count,invalid_draw_count,valid_draw_fraction,original_metric_status
a1_3,success,B0,pooled,,ap,0.3020833333333333,0.3,0.2,0.4072164948453608,0.2072164948453608,10000,10000,0,1.0,ok
a1_3,success,B0,pooled,,f1,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B0,pooled,,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B1,pooled,,ap,0.2628284072249589,0.26619010639847607,0.16798293977473544,0.3806139356795048,0.21263099590476936,10000,10000,0,1.0,ok
a1_3,success,B1,pooled,,f1,0.464,0.46153846153846156,0.3333333333333333,0.5787545787545788,0.2454212454212455,10000,10000,0,1.0,ok
a1_3,success,B1,pooled,,ap_lift,-0.03925492610837439,-0.035334089595988355,-0.06578987092705714,0.01642913862483335,0.08221900955189049,10000,10000,0,1.0,ok
a1_3,success,B2,pooled,,ap,0.4613633573666999,0.4746525734532885,0.31858534089741347,0.6462826228103652,0.3276972819129517,10000,10000,0,1.0,ok
a1_3,success,B2,pooled,,f1,0.5408805031446541,0.5369127516778524,0.3815632832080201,0.6627906976744186,0.2812274144663985,10000,10000,0,1.0,ok
a1_3,success,B2,pooled,,ap_lift,0.1592800240333666,0.17001642121983937,0.06903131378087081,0.30871378766721735,0.23968247388634656,10000,10000,0,1.0,ok
a1_3,success,B3,pooled,,ap,0.2979471273821883,0.30799228506351894,0.18663239291977632,0.45628633666205753,0.26965394374228124,10000,10000,0,1.0,ok
a1_3,success,B3,pooled,,f1,0.41935483870967744,0.4166666666666667,0.2774566473988439,0.546448087431694,0.26899144003285014,10000,10000,0,1.0,ok
a1_3,success,B3,pooled,,ap_lift,-0.004136205951145,0.003921405199272032,-0.06487314709600174,0.12072822115464293,0.18560136825064466,10000,10000,0,1.0,ok
a1_3,side_effect,B0,pooled,,ap,0.06153846153846154,0.061224489795918366,0.02040816326530612,0.1134020618556701,0.09299389859036399,10000,9999,1,0.9999,ok
a1_3,side_effect,B0,pooled,,f1,0.0,0.0,0.0,0.0,0.0,10000,9999,1,0.9999,ok
a1_3,side_effect,B0,pooled,,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,9999,1,0.9999,ok
a1_3,side_effect,B1,pooled,,ap,0.05275403608736943,0.05518182581674645,0.02234315948601663,0.0996152450705715,0.07727208558455487,10000,9999,1,0.9999,ok
a1_3,side_effect,B1,pooled,,f1,0.06666666666666667,0.06611570247933884,0.016666666666666666,0.12698412698412698,0.11031746031746031,10000,9999,1,0.9999,ok
a1_3,side_effect,B1,pooled,,ap_lift,-0.008784425451092114,-0.006334089191232045,-0.015122878267208165,0.014921894683799446,0.03004477295100761,10000,9999,1,0.9999,ok
