artifact_id,artifact_path,location_kind,source_artifact,source_row_key,source_field,exact_value,display_value,format_rule,evidence_status
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B2,dimension,13,13,integer,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B2,extraction_ms_per_trajectory,0.01343163276775455,0.01343,latency_4_significant_digits,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B2,inference_ms_per_trajectory,0.0007025510243767379,0.0007026,latency_4_significant_digits,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B2,representation_size_bytes,20512,20.0 KiB,bytes_to_KiB_3_significant_digits,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B2,classifier_size_bytes,1184,1.16 KiB,bytes_to_KiB_3_significant_digits,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B2,peak_cpu_rss_mb,155.09765625,155 MiB,memory_3_significant_digits,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B4,dimension,1024,1024,integer,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B4,extraction_ms_per_trajectory,2370.268617346984,2.37e3,latency_3_significant_digits,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B4,inference_ms_per_trajectory,0.0018030612929058926,0.001803,latency_4_significant_digits,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B4,representation_size_bytes,802944,784 KiB,bytes_to_KiB_3_significant_digits,EFFICIENCY_BENCHMARK
