target,baseline_id,outer_fold,sample_count,positive_count,negative_count,prevalence,predicted_positive_count,selected_config_id,selected_threshold,pr_auc_average_precision,positive_f1,roc_auc,precision,recall,f2,balanced_accuracy,mcc
success,B0,1,39,11,28,0.28205128205128205,0,B0_most_frequent,0.5,0.28205128205128205,0.0,0.5,0.0,0.0,0.0,0.5,0.0
success,B0,2,40,12,28,0.3,0,B0_most_frequent,0.5,0.3,0.0,0.5,0.0,0.0,0.0,0.5,0.0
success,B0,3,38,12,26,0.3157894736842105,0,B0_most_frequent,0.5,0.3157894736842105,0.0,0.5,0.0,0.0,0.0,0.5,0.0
success,B0,4,38,12,26,0.3157894736842105,0,B0_most_frequent,0.5,0.3157894736842105,0.0,0.5,0.0,0.0,0.0,0.5,0.0
success,B0,5,37,11,26,0.2972972972972973,0,B0_most_frequent,0.5,0.2972972972972973,0.0,0.5,0.0,0.0,0.0,0.5,0.0
success,B1,1,39,11,28,0.28205128205128205,39,B1_prior,0.3,0.28205128205128205,0.44,0.5,0.28205128205128205,1.0,0.6626506024096386,0.5,0.0
success,B1,2,40,12,28,0.3,40,B1_prior,0.3,0.3,0.46153846153846156,0.5,0.3,1.0,0.6818181818181818,0.5,0.0
success,B1,3,38,12,26,0.3157894736842105,38,B1_prior,0.25,0.3157894736842105,0.48,0.5,0.3157894736842105,1.0,0.6976744186046512,0.5,0.0
success,B1,4,38,12,26,0.3157894736842105,38,B1_prior,0.25,0.3157894736842105,0.48,0.5,0.3157894736842105,1.0,0.6976744186046512,0.5,0.0
success,B1,5,37,11,26,0.2972972972972973,37,B1_prior,0.25,0.2972972972972973,0.4583333333333333,0.5,0.2972972972972973,1.0,0.6790123456790124,0.5,0.0
success,B2,1,39,11,28,0.28205128205128205,17,B2_C0p1_cw_balanced,0.35,0.6466708156616879,0.7142857142857143,0.8181818181818181,0.5882352941176471,0.9090909090909091,0.819672131147541,0.8295454545454546,0.5981152540049517
success,B2,2,40,12,28,0.3,22,B2_C10p0_cw_balanced,0.25,0.71002366002366,0.6470588235294118,0.8690476190476191,0.5,0.9166666666666666,0.7857142857142857,0.7619047619047619,0.48249790963716394
success,B2,3,38,12,26,0.3157894736842105,10,B2_C1p0_cw_balanced,0.7,0.4969206447147623,0.45454545454545453,0.717948717948718,0.5,0.4166666666666667,0.43103448275862066,0.6121794871794872,0.23683273335783545
success,B2,4,38,12,26,0.3157894736842105,22,B2_C10p0_cw_balanced,0.3,0.529988939838011,0.5882352941176471,0.701923076923077,0.45454545454545453,0.8333333333333334,0.7142857142857143,0.6858974358974359,0.35003329844931896
success,B2,5,37,11,26,0.2972972972972973,11,B2_C10p0_cw_balanced,0.6,0.6226743315327365,0.5454545454545454,0.7482517482517483,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6765734265734266,0.3531468531468531
success,B3,1,39,11,28,0.28205128205128205,39,B3_T2_C0p1_cw_balanced,0.45,0.8391000339529753,0.44,0.9025974025974026,0.28205128205128205,1.0,0.6626506024096386,0.5,0.0
success,B3,2,40,12,28,0.3,19,B3_T1_C1p0_cw_balanced,0.45,0.6012625713439117,0.5161290322580645,0.6904761904761905,0.42105263157894735,0.6666666666666666,0.5970149253731343,0.6369047619047619,0.25126485138204385
success,B3,3,38,12,26,0.3157894736842105,12,B3_T2_C0p1_cw_none,0.35,0.3785312840349138,0.4166666666666667,0.6057692307692308,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5737179487179487,0.14743589743589744
success,B3,4,38,12,26,0.3157894736842105,7,B3_T2_C10p0_cw_none,0.25,0.31923304070819947,0.0,0.5032051282051282,0.0,0.0,0.0,0.36538461538461536,-0.32282868875438936
success,B3,5,37,11,26,0.2972972972972973,36,B3_T2_C0p1_cw_balanced,0.45,0.7821311198105456,0.46808510638297873,0.8916083916083917,0.3055555555555556,1.0,0.6875,0.5192307692307693,0.10840727259799848
side_effect,B0,1,39,3,36,0.07692307692307693,0,B0_most_frequent,0.5,0.07692307692307693,0.0,0.5,0.0,0.0,0.0,0.5,0.0
side_effect,B0,2,38,2,36,0.05263157894736842,0,B0_most_frequent,0.5,0.05263157894736842,0.0,0.5,0.0,0.0,0.0,0.5,0.0
side_effect,B0,3,39,2,37,0.05128205128205128,0,B0_most_frequent,0.5,0.05128205128205128,0.0,0.5,0.0,0.0,0.0,0.5,0.0
side_effect,B0,4,38,2,36,0.05263157894736842,0,B0_most_frequent,0.5,0.05263157894736842,0.0,0.5,0.0,0.0,0.0,0.5,0.0
side_effect,B0,5,41,3,38,0.07317073170731707,0,B0_most_frequent,0.5,0.07317073170731707,0.0,0.5,0.0,0.0,0.0,0.5,0.0
side_effect,B1,1,39,3,36,0.07692307692307693,39,B1_prior,0.05,0.07692307692307693,0.14285714285714285,0.5,0.07692307692307693,1.0,0.29411764705882354,0.5,0.0
side_effect,B1,2,38,2,36,0.05263157894736842,38,B1_prior,0.05,0.05263157894736842,0.1,0.5,0.05263157894736842,1.0,0.21739130434782608,0.5,0.0
side_effect,B1,3,39,2,37,0.05128205128205128,39,B1_prior,0.05,0.05128205128205128,0.0975609756097561,0.5,0.05128205128205128,1.0,0.2127659574468085,0.5,0.0
side_effect,B1,4,38,2,36,0.05263157894736842,38,B1_prior,0.05,0.05263157894736842,0.1,0.5,0.05263157894736842,1.0,0.21739130434782608,0.5,0.0
side_effect,B1,5,41,3,38,0.07317073170731707,41,B1_prior,0.05,0.07317073170731707,0.13636363636363635,0.5,0.07317073170731707,1.0,0.2830188679245283,0.5,0.0
side_effect,B2,1,39,3,36,0.07692307692307693,0,B2_C10p0_cw_none,0.5,0.17076023391812867,0.0,0.4907407407407407,0.0,0.0,0.0,0.5,0.0
side_effect,B2,2,38,2,36,0.05263157894736842,36,B2_C0p1_cw_none,0.1,0.1625,0.10526315789473684,0.7916666666666666,0.05555555555555555,1.0,0.22727272727272727,0.5277777777777778,0.05555555555555555
side_effect,B2,3,39,2,37,0.05128205128205128,7,B2_C0p1_cw_balanced,0.6,0.05808080808080808,0.0,0.3513513513513513,0.0,0.0,0.0,0.40540540540540543,-0.10873970905021
side_effect,B2,4,38,2,36,0.05263157894736842,7,B2_C0p1_cw_none,0.2,0.054093567251461985,0.0,0.2777777777777778,0.0,0.0,0.0,0.4027777777777778,-0.11200358417204118
side_effect,B2,5,41,3,38,0.07317073170731707,30,B2_C1p0_cw_balanced,0.25,0.10992063492063492,0.18181818181818182,0.587719298245614,0.1,1.0,0.35714285714285715,0.6447368421052632,0.17013926184468015
side_effect,B3,1,39,3,36,0.07692307692307693,2,B3_T2_C1p0_cw_balanced,0.45,0.9166666666666665,0.8,0.9907407407407407,1.0,0.6666666666666666,0.7142857142857143,0.8333333333333333,0.8053872662568292
side_effect,B3,2,38,2,36,0.05263157894736842,1,B3_T1_C10p0_cw_balanced,0.5,0.30952380952380953,0.0,0.9027777777777778,0.0,0.0,0.0,0.4861111111111111,-0.03874921291460643
side_effect,B3,3,39,2,37,0.05128205128205128,12,B3_T1_C10p0_cw_balanced,0.2,0.19090909090909092,0.2857142857142857,0.8243243243243243,0.16666666666666666,1.0,0.5,0.8648648648648649,0.3487429162314578
side_effect,B3,4,38,2,36,0.05263157894736842,3,B3_T1_C10p0_cw_none,0.1,0.45,0.4,0.9444444444444444,0.3333333333333333,0.5,0.45454545454545453,0.7222222222222222,0.3680349649825889
side_effect,B3,5,41,3,38,0.07317073170731707,2,B3_T1_C10p0_cw_none,0.1,0.6388888888888888,0.4,0.9736842105263158,0.5,0.3333333333333333,0.35714285714285715,0.6535087719298246,0.37116611173587033
looping,B0,1,39,17,22,0.4358974358974359,0,B0_most_frequent,0.5,0.4358974358974359,0.0,0.5,0.0,0.0,0.0,0.5,0.0
looping,B0,2,39,19,20,0.48717948717948717,0,B0_most_frequent,0.5,0.48717948717948717,0.0,0.5,0.0,0.0,0.0,0.5,0.0
looping,B0,3,38,18,20,0.47368421052631576,0,B0_most_frequent,0.5,0.47368421052631576,0.0,0.5,0.0,0.0,0.0,0.5,0.0
looping,B0,4,39,18,21,0.46153846153846156,0,B0_most_frequent,0.5,0.46153846153846156,0.0,0.5,0.0,0.0,0.0,0.5,0.0
looping,B0,5,41,20,21,0.4878048780487805,0,B0_most_frequent,0.5,0.4878048780487805,0.0,0.5,0.0,0.0,0.0,0.5,0.0
looping,B1,1,39,17,22,0.4358974358974359,39,B1_prior,0.45,0.4358974358974359,0.6071428571428571,0.5,0.4358974358974359,1.0,0.794392523364486,0.5,0.0
looping,B1,2,39,19,20,0.48717948717948717,39,B1_prior,0.45,0.48717948717948717,0.6551724137931034,0.5,0.48717948717948717,1.0,0.8260869565217391,0.5,0.0
looping,B1,3,38,18,20,0.47368421052631576,38,B1_prior,0.45,0.47368421052631576,0.6428571428571429,0.5,0.47368421052631576,1.0,0.8181818181818182,0.5,0.0
looping,B1,4,39,18,21,0.46153846153846156,39,B1_prior,0.45,0.46153846153846156,0.631578947368421,0.5,0.46153846153846156,1.0,0.8108108108108109,0.5,0.0
looping,B1,5,41,20,21,0.4878048780487805,41,B1_prior,0.45,0.4878048780487805,0.6557377049180327,0.5,0.4878048780487805,1.0,0.8264462809917356,0.5,0.0
looping,B2,1,39,17,22,0.4358974358974359,20,B2_C10p0_cw_none,0.2,0.8369124461002078,0.918918918918919,0.9411764705882353,0.85,1.0,0.9659090909090909,0.9318181818181819,0.8567910533443431
looping,B2,2,39,19,20,0.48717948717948717,21,B2_C10p0_cw_none,0.2,0.9069350317272753,0.85,0.9210526315789473,0.8095238095238095,0.8947368421052632,0.8762886597938144,0.8473684210526315,0.696572345547434
looping,B2,3,38,18,20,0.47368421052631576,21,B2_C10p0_cw_none,0.3,0.9227864274432902,0.9230769230769231,0.9472222222222222,0.8571428571428571,1.0,0.967741935483871,0.925,0.8535639569308375
looping,B2,4,39,18,21,0.46153846153846156,23,B2_C10p0_cw_none,0.2,0.9670059675542133,0.8780487804878049,0.9735449735449735,0.782608695652174,1.0,0.9473684210526315,0.8809523809523809,0.7721873425053443
looping,B2,5,41,20,21,0.4878048780487805,22,B2_C0p1_cw_none,0.2,0.9552502410300399,0.9047619047619048,0.9595238095238096,0.8636363636363636,0.95,0.9313725490196079,0.9035714285714285,0.8090715166599324
looping,B3,1,39,17,22,0.4358974358974359,26,B3_T1_C10p0_cw_none,0.35,0.6964141273940708,0.7441860465116279,0.7860962566844919,0.6153846153846154,0.9411764705882353,0.851063829787234,0.7433155080213903,0.5118906968889915
looping,B3,2,39,19,20,0.48717948717948717,15,B3_T2_C10p0_cw_none,0.45,0.8360308452504044,0.7647058823529411,0.8868421052631579,0.8666666666666667,0.6842105263157895,0.7142857142857143,0.7921052631578948,0.6002192581838214
looping,B3,3,38,18,20,0.47368421052631576,34,B3_T2_C0p1_cw_balanced,0.45,0.7717902810930639,0.6538461538461539,0.7694444444444445,0.5,0.9444444444444444,0.8018867924528302,0.5472222222222222,0.1536590742882148
looping,B3,4,39,18,21,0.46153846153846156,29,B3_T1_C0p1_cw_balanced,0.5,0.5516878016290536,0.6382978723404256,0.5238095238095238,0.5172413793103449,0.8333333333333334,0.7425742574257426,0.5833333333333334,0.19028109877684682
looping,B3,5,41,20,21,0.4878048780487805,25,B3_T1_C0p1_cw_none,0.45,0.48337848833821023,0.5333333333333333,0.4928571428571429,0.48,0.6,0.5714285714285714,0.49047619047619045,-0.019518001458970664
