target,baseline_id,valid_domain_count,excluded_single_class_domain_count,pr_auc_average_precision_macro_mean,pr_auc_average_precision_macro_std,positive_f1_macro_mean,positive_f1_macro_std,roc_auc_macro_mean,roc_auc_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f2_macro_mean,f2_macro_std,balanced_accuracy_macro_mean,balanced_accuracy_macro_std,mcc_macro_mean,mcc_macro_std,ap_lift_macro_mean,ap_lift_macro_std
success,B4_dense_embedding_lr,4,0,0.5445250857614568,0.18787251094911592,0.407043407043407,0.28577996496307273,0.6944127145071831,0.10673290438628294,0.5208333333333334,0.37950805069750193,0.6113157894736843,0.3965906178797128,0.4881170830434034,0.3552681275907956,0.590085860838537,0.0802430873563023,0.2474095624205493,0.17055673300022853,0.2451203238566948,0.11358300217447707
side_effect,B4_dense_embedding_lr,3,1,0.14653246891260335,0.06807990363261622,0.1306671697164057,0.08186467992844676,0.6151111728370567,0.26478324088299415,0.07576726342710997,0.043321658318902584,0.5416666666666666,0.43898557303553076,0.23585858585858588,0.1658127804956432,0.5629778249540363,0.2745724374710099,0.023058501329596064,0.24743175778295218,0.07699223902754587,0.09931114213839952
looping,B4_dense_embedding_lr,4,0,0.7946010610848203,0.046059211643714605,0.7817898997221215,0.056809160817537466,0.8497941598964617,0.10145543514194504,0.6999007936507936,0.14543056874433982,0.9318181818181819,0.13636363636363635,0.8600595657038701,0.07647620742430153,0.7721504837873124,0.12419784569123667,0.5768234500864008,0.16603518007754156,0.3478207580545173,0.16326098662138355
