evidence_id,stage_id,target,protocol,method_or_variant,metric_or_estimand,point_estimate,ci_lower,ci_upper,valid_fraction,sample_size,positive_count,support_role,source_artifact,source_row_key,formal_commit,notes
E_A15_SUCCESS_S1_NO_TERMINATION_MACRO_AP,A1.5,success,primary four-group LOBO structural ablation,S1_no_termination,macro AP,0.5181580179647153,,,,192,58,primary,artifacts/a1_5_macro_metrics.csv;artifacts/a1_5_structural_ablation_deltas.csv,target=success;variant_id=S1_no_termination,e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca,macro delta AP=0.038348375510390664; pooled delta AP=-0.034938617631940505; retained AP-lift ratio=0.7806465823697928; descriptive non-causal ablation
E_A15_SUCCESS_S6_TERMINATION_REPETITION_ONLY_MACRO_AP,A1.5,success,primary four-group LOBO structural ablation,S6_termination_repetition_only,macro AP,0.5115987974378046,,,,192,58,secondary,artifacts/a1_5_macro_metrics.csv;artifacts/a1_5_structural_ablation_deltas.csv,target=success;variant_id=S6_termination_repetition_only,e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca,macro delta AP=0.03178915498347995; pooled delta AP=-0.015252000187100656; retained AP-lift ratio=0.9042441117166984; descriptive non-causal ablation
E_A15_SIDE_EFFECT_S0_FULL13_MACRO_AP,A1.5,side_effect,primary four-group LOBO structural ablation,S0_full13,macro AP,0.06044294222122107,,,,195,12,diagnostic,artifacts/a1_5_macro_metrics.csv;artifacts/a1_5_structural_ablation_deltas.csv,target=side_effect;variant_id=S0_full13,e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca,macro delta AP=0.0; pooled delta AP=0.0; retained AP-lift ratio=NA; descriptive non-causal ablation
E_A15_LOOPING_S0_FULL13_MACRO_AP,A1.5,looping,primary four-group LOBO structural ablation,S0_full13,macro AP,0.8508412981380737,,,,196,92,primary,artifacts/a1_5_macro_metrics.csv;artifacts/a1_5_structural_ablation_deltas.csv,target=looping;variant_id=S0_full13,e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca,macro delta AP=0.0; pooled delta AP=0.0; retained AP-lift ratio=1.0; descriptive non-causal ablation
E_A15_LOOPING_S2_NO_REPETITION_MACRO_AP,A1.5,looping,primary four-group LOBO structural ablation,S2_no_repetition,macro AP,0.8191435228896013,,,,196,92,primary,artifacts/a1_5_macro_metrics.csv;artifacts/a1_5_structural_ablation_deltas.csv,target=looping;variant_id=S2_no_repetition,e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca,macro delta AP=-0.03169777524847239; pooled delta AP=-0.04233232096223949; retained AP-lift ratio=0.8845435369934274; descriptive non-causal ablation
E_A15_LOOPING_S6_TERMINATION_REPETITION_ONLY_MACRO_AP,A1.5,looping,primary four-group LOBO structural ablation,S6_termination_repetition_only,macro AP,0.9013561044401228,,,,196,92,secondary,artifacts/a1_5_macro_metrics.csv;artifacts/a1_5_structural_ablation_deltas.csv,target=looping;variant_id=S6_termination_repetition_only,e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca,macro delta AP=0.050514806302049076; pooled delta AP=0.07749168241532411; retained AP-lift ratio=1.2113495164151904; descriptive non-causal ablation
E_A16_P1_SUCCESS_MACRO_AP_LIFT,A1.6,success,fixed task-group cluster bootstrap over primary LOBO predictions,B2,macro_ap_lift,0.18040488054956272,0.10839777834625249,0.34357566863044275,1.0,192,58,primary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P1;target=success;scope=macro;metric=ap_lift,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=stable_positive_under_bootstrap; fixed draws=10000; no new draw in A1.8
E_A16_P2_SUCCESS_MACRO_AP,A1.6,success,fixed task-group cluster bootstrap over primary LOBO predictions,B2-B3,macro_ap_delta_A_minus_B,0.056952764093636365,-0.12028102081779071,0.2557532531304567,1.0,192,58,primary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P2;target=success;scope=macro;metric=ap,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P2_SUCCESS_MACRO_F1,A1.6,success,fixed task-group cluster bootstrap over primary LOBO predictions,B2-B3,macro_f1_delta_A_minus_B,0.12535978712485996,-0.004539187690300432,0.27211976443940006,1.0,192,58,primary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P2;target=success;scope=macro;metric=f1,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P3_SUCCESS_MACRO_AP,A1.6,success,fixed task-group cluster bootstrap over primary LOBO predictions,S1_no_termination-S0_full13,macro_ap_delta_A_minus_B,0.038348375510390664,-0.052110277933661076,0.1164378081266103,1.0,192,58,primary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P3;target=success;scope=macro;metric=ap,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
