target,baseline_id,sample_count,positive_count,negative_count,prevalence,predicted_positive_count,pooled_pr_auc_average_precision,fold_mean_pr_auc_average_precision,fold_std_pr_auc_average_precision,pooled_positive_f1,fold_mean_positive_f1,fold_std_positive_f1,pooled_roc_auc,fold_mean_roc_auc,fold_std_roc_auc,pooled_precision,fold_mean_precision,fold_std_precision,pooled_recall,fold_mean_recall,fold_std_recall,pooled_f2,fold_mean_f2,fold_std_f2,pooled_balanced_accuracy,fold_mean_balanced_accuracy,fold_std_balanced_accuracy,pooled_mcc,fold_mean_mcc,fold_std_mcc,ap_absolute_lift
success,B0,192,58,134,0.3020833333333333,0,0.3020833333333333,0.30218550534340005,0.014179156077852688,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
success,B1,192,58,134,0.3020833333333333,192,0.29403475876190066,0.30218550534340005,0.014179156077852688,0.464,0.46397435897435896,0.016779205846804576,0.483659289758106,0.5,0.0,0.3020833333333333,0.30218550534340005,0.014179156077852688,1.0,1.0,0.0,0.6839622641509434,0.683765993423227,0.014655540391231783,0.5,0.5,0.0,0.0,0.0,0.0,-0.008048574571432654
success,B2,192,58,134,0.3020833333333333,82,0.5460325657667283,0.6012556783541716,0.08705819102813625,0.6,0.5899159663865546,0.09879012906363636,0.7681420483787956,0.7710705960705961,0.07060980356063334,0.5121951219512195,0.5176470588235293,0.05089352883073846,0.7241379310344828,0.7242424242424242,0.22894586156959443,0.6687898089171974,0.6592322318721414,0.1656722153655428,0.7128152341739578,0.7132201132201132,0.08396501727050684,0.3950898167967177,0.4041252097192246,0.13900172456230792,0.243949232433395
success,B3,192,58,134,0.3020833333333333,113,0.3542397136544174,0.5840516099701092,0.23288886136128092,0.4093567251461988,0.368176161061542,0.20912647369370127,0.5487647967061247,0.7187312687312688,0.17585757270798869,0.30973451327433627,0.2850652271704903,0.17139328618668795,0.603448275862069,0.6166666666666667,0.4232808366400098,0.5072463768115942,0.4727664388898879,0.2847189291213909,0.5106793618116314,0.519047619047619,0.10106225197721029,0.01992915682488985,0.036855866532310086,0.22025558672741252,0.052156380321084106
side_effect,B0,195,12,183,0.06153846153846154,0,0.06153846153846154,0.061327803561436425,0.012605884362354373,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
side_effect,B1,195,12,183,0.06153846153846154,195,0.05574600520252694,0.061327803561436425,0.012605884362354373,0.11594202898550725,0.11535635096610707,0.02228177511145176,0.44990892531876137,0.5,0.0,0.06153846153846154,0.061327803561436425,0.012605884362354373,1.0,1.0,0.0,0.24691358024691357,0.2449370162251625,0.040067041900507555,0.5,0.5,0.0,0.0,0.0,0.0,-0.005792456335934601
side_effect,B2,195,12,183,0.06153846153846154,80,0.0713462143994289,0.11107104883420674,0.055370249928964436,0.10869565217391304,0.05741626794258373,0.08314902965063525,0.5214025500910746,0.49985116695643006,0.20268749323111637,0.0625,0.03111111111111111,0.045406259426005666,0.4166666666666667,0.4,0.5477225575051661,0.1953125,0.11688311688311688,0.16650495331114396,0.5034153005464481,0.4961395606132448,0.1000576599515553,0.00333719187461298,0.0009903048355969029,0.11874132794388592,0.009807752860967356
side_effect,B3,195,12,183,0.06153846153846154,20,0.2256074459108069,0.5011976911976912,0.28601242607089755,0.375,0.37714285714285717,0.28742345919906953,0.8105646630236794,0.9271942995627206,0.06647448354041174,0.3,0.4,0.38369548110737794,0.5,0.5,0.37267799624996495,0.4411764705882353,0.4051948051948052,0.26146343984602777,0.7117486338797814,0.7120080606922712,0.15218488104508932,0.33545383289609887,0.37091640925842795,0.2987854064528603,0.16406898437234535
looping,B0,196,92,104,0.46938775510204084,0,0.46938775510204084,0.4692208946380962,0.021548024010133598,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
looping,B1,196,92,104,0.46938775510204084,196,0.4557052062159531,0.4692208946380962,0.021548024010133598,0.6388888888888888,0.6384978132159115,0.020157280943801783,0.47920150501672243,0.5,0.0,0.46938775510204084,0.4692208946380962,0.021548024010133598,1.0,1.0,0.0,0.8156028368794326,0.815183677974118,0.01328637113505834,0.5,0.5,0.0,0.0,0.0,0.0,-0.01368254888608772
looping,B2,196,92,104,0.46938775510204084,107,0.9045369820471402,0.9177780227710053,0.051257813431875215,0.8944723618090452,0.8949613054491103,0.03069226055908501,0.9435618729096991,0.9485040214916376,0.01973195268947707,0.8317757009345794,0.8325823451910408,0.0350000257976058,0.967391304347826,0.9689473684210527,0.046794772063989964,0.9368421052631579,0.9377361312518031,0.03742703527424306,0.8971571906354514,0.8977420824789246,0.034487518512035985,0.7961888966688186,0.7976372429975782,0.06636927782447999,0.43514922694509933
looping,B3,196,92,104,0.46938775510204084,129,0.6323064085195023,0.6678603087409606,0.14784086252660034,0.6606334841628959,0.6668738576768963,0.09269258228363922,0.6820652173913043,0.6918098946117522,0.1737533644369428,0.5658914728682171,0.5958585322723254,0.1600867171452718,0.7934782608695652,0.8006329549363606,0.1543626440772146,0.7344064386317908,0.7362478330760185,0.10627668300911829,0.6275083612040133,0.6312905034422063,0.1300067550183505,0.26831625675361537,0.28730642533578077,0.2596965986030136,0.16291865341746142
