target,role,estimand,point_estimate,ci_lower,ci_upper,bootstrap_median,fixed_draw_count,valid_draw_count,invalid_draw_count,valid_fraction,seed,rng,interval,resampling_unit,strata,label_stratification,invalid_redraw
success,confirmatory_primary,pooled_ap_lift,0.38956726077582238,0.32680649134080703,0.45541133477850798,0.39132544443524109,10000,10000,0,1,2027,numpy.random.Generator(numpy.random.PCG64(2027)),percentile_95,task_group,benchmark_group_primary,false,false
looping,confirmatory_primary,pooled_ap_lift,0.39482874526785017,0.36096476759760193,0.42859756050695702,0.39507879195705536,10000,10000,0,1,2027,numpy.random.Generator(numpy.random.PCG64(2027)),percentile_95,task_group,benchmark_group_primary,false,false
side_effect,exploratory_only,pooled_ap_lift,0.042850697670555743,0.021245001224243706,0.079199755454644902,0.046136709200096479,10000,10000,0,1,2027,numpy.random.Generator(numpy.random.PCG64(2027)),percentile_95,task_group,benchmark_group_primary,false,false
