artifact_id,artifact_path,artifact_type,paper_role,source_artifacts,sha256,evidence_status,display_contract_version,verified
FigS1_SideEffect_Exploratory_AP_Lift,paper/figures/FigS1_SideEffect_Exploratory_AP_Lift.svg,final_figure,paper figure,artifacts/a2_3_table_1_main_heldout_results.csv,dd52a6cd1fc8b96a95b38d48b3be94e1090ad0ff71cb89c9570d0c7aec67b67b,EXPLORATORY_SUPPORTED,a3_1_display_contract_v1,true
FigS2_Benchmark_Heterogeneity,paper/figures/FigS2_Benchmark_Heterogeneity.pdf,final_figure,paper figure,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,c29fc5b45a9d6af66df6458a552a48d03cf068b5f8c339048439dbabf298abb9,DESCRIPTIVE_ONLY,a3_1_display_contract_v1,true
FigS2_Benchmark_Heterogeneity,paper/figures/FigS2_Benchmark_Heterogeneity.png,final_figure,paper figure,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,cf632bb29938a8c05bdd83579fe8801d1441116afc778a54f93859c3c57d5145,DESCRIPTIVE_ONLY,a3_1_display_contract_v1,true
FigS2_Benchmark_Heterogeneity,paper/figures/FigS2_Benchmark_Heterogeneity.svg,final_figure,paper figure,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,ffdfc8c03edaf764ea1bd6e6986ffe9fbfcd4e0b09663ee2cef442e5f8b0b21c,DESCRIPTIVE_ONLY,a3_1_display_contract_v1,true
A3_1_Table_Preview,paper/tables/A3_1_Table_Preview.md,review,human review only,artifacts/a2_3_table_1_main_heldout_results.csv;artifacts/a2_3_table_2_efficiency_tradeoff.csv;artifacts/a2_3_table_3_dev_representation_summary.csv;artifacts/a2_3_table_4_benchmark_heterogeneity.csv;artifacts/a2_3_table_5_interpretability_error_summary.csv,0ecbb0529eecafba544c0df862bc91c433d8982250ea67592beda61120fd71ec,REVIEW_ONLY,a3_1_display_contract_v1,true
Table1_Main_Heldout_Results,paper/tables/Table1_Main_Heldout_Results.md,final_table,paper table,artifacts/a2_3_table_1_main_heldout_results.csv,31f1993bb72695e3dbc1e23be995282b9895c78b2287e6e49c10d9311bc47e35,CONFIRMATORY_AND_EXPLORATORY,a3_1_display_contract_v1,true
Table1_Main_Heldout_Results,paper/tables/Table1_Main_Heldout_Results.tex,final_table,paper table,artifacts/a2_3_table_1_main_heldout_results.csv,369e55bda390271d0f5aad0f423d4bb8a44ef464250fe55dde6923e875b859fc,CONFIRMATORY_AND_EXPLORATORY,a3_1_display_contract_v1,true
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,final_table,paper table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,30e364fa4c47318821a1ea5fd9f1ac6a91e1d1eff71f58af0a1f11bf2fc719fc,ENVIRONMENT_SPECIFIC,a3_1_display_contract_v1,true
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.tex,final_table,paper table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,b7a0029422b0c011f8ff359be0c09aeb8ad58b048a3030dcd1c90718579ad165,ENVIRONMENT_SPECIFIC,a3_1_display_contract_v1,true
Table3_Dev_Representation_Robustness,paper/tables/Table3_Dev_Representation_Robustness.md,final_table,paper table,artifacts/a2_3_table_3_dev_representation_summary.csv,882770581ad97bbbd61dc8953abffde78e5f0b79d11e98aa18e807d24570b8f9,DEV_ONLY,a3_1_display_contract_v1,true
Table3_Dev_Representation_Robustness,paper/tables/Table3_Dev_Representation_Robustness.tex,final_table,paper table,artifacts/a2_3_table_3_dev_representation_summary.csv,a4d08db7fbae5df12423625626376bc808e14eefab56a4dfcc650d0d13e72348,DEV_ONLY,a3_1_display_contract_v1,true
Table4_Benchmark_Heterogeneity,paper/tables/Table4_Benchmark_Heterogeneity.md,final_table,paper table,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,0723b84c08cf9755bcbce9f901075266534d3c89944d191a2ae0942f608e922e,DESCRIPTIVE_ONLY,a3_1_display_contract_v1,true
Table4_Benchmark_Heterogeneity,paper/tables/Table4_Benchmark_Heterogeneity.tex,final_table,paper table,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,582d533bc346951444016d9c0e06e9a1d432b46bff85e40c4b6fb26944e8de18,DESCRIPTIVE_ONLY,a3_1_display_contract_v1,true
Table5_Interpretability_Failure_Summary,paper/tables/Table5_Interpretability_Failure_Summary.md,final_table,paper table,artifacts/a2_3_table_5_interpretability_error_summary.csv,f5f0f8ded010681f562b9b7e4a7c2c8665f134b2477cdc99412a99594ad5ff08,ASSOCIATIVE_AND_DESCRIPTIVE,a3_1_display_contract_v1,true
Table5_Interpretability_Failure_Summary,paper/tables/Table5_Interpretability_Failure_Summary.tex,final_table,paper table,artifacts/a2_3_table_5_interpretability_error_summary.csv,2027b2b40a83fe7057847b4a331eee049bf5de291a967d11043661c424fafde9,ASSOCIATIVE_AND_DESCRIPTIVE,a3_1_display_contract_v1,true
