method,representation,dimension,device,measured_repetitions,median_extraction_ms_per_trajectory,median_inference_ms_per_trajectory,cold_start_seconds,model_load_seconds,representation_size_bytes,representation_size_mb,representation_serialization,classifier_artifact,classifier_artifact_size_bytes,classifier_artifact_size_mb,semantic_encoder_size_bytes,semantic_encoder_size_mb,semantic_snapshot_size_bytes,semantic_snapshot_size_mb,peak_cpu_rss_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb,peak_gpu_vram_mb,evidence_status
B2,frozen structural full13,13,cpu,5,0.01343163276775455,0.0007025510243767379,0.9577901,NA,20512,0.019561767578125,"NumPy .npy, float64, allow_pickle=false",artifacts/final_models/final_success_b2.joblib,1184,0.001129150390625,NA,NA,NA,NA,155.09765625,NA,NA,NA,EFFICIENCY_BENCHMARK
B4,frozen Qwen3 dense semantic,1024,cuda:0,3,2370.268617346984,0.0018030612929058926,7.8807164,1.9703310999902897,802944,0.7657470703125,"NumPy .npy, float32, allow_pickle=false",artifacts/final_models/final_side_effect_b4.joblib,8536,0.00814056396484375,1191586416,1136.3853607177734,1207490338,1151.5525226593018,2163.0234375,1428.6298828125,1536.0,1536.0,EFFICIENCY_BENCHMARK
