target,role,pooled_ap_lift,ci_lower,ci_upper,final_grade,grading_rule
success,confirmatory_primary,0.38956726077582238,0.32680649134080703,0.45541133477850798,CONFIRMED_HELDOUT_SIGNAL,pooled_ap_lift_gt_0_and_ci_lower_gt_0
looping,confirmatory_primary,0.39482874526785017,0.36096476759760193,0.42859756050695702,CONFIRMED_HELDOUT_SIGNAL,pooled_ap_lift_gt_0_and_ci_lower_gt_0
side_effect,exploratory_only,0.042850697670555743,0.021245001224243706,0.079199755454644902,EXPLORATORY_TEST_RESULT,role_frozen_exploratory_regardless_of_result
