source,method_id,held_out_group,original_positive_count,original_negative_count,task_group_count,metric,fixed_draw_count,valid_draw_count,invalid_single_class_draw_count,valid_draw_fraction,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,support_note
a1_5,S0_full13,webarena,8,79,22,ap,10000,9869,131,0.9869,0.0698806142062362,0.0732612677888808,0.017543859649122806,0.17586434699359146,0.15832048734446866,invalid_single_class_resamples_retained_no_redraw
a1_5,S0_full13,webarena,8,79,22,f1,10000,9869,131,0.9869,0.05555555555555555,0.05263157894736842,0.0,0.16666666666666666,0.16666666666666666,invalid_single_class_resamples_retained_no_redraw
a1_5,S0_full13,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.030495831505046072,0.037037037037037035,0.01818181818181818,0.0911978221415608,0.07301600395974261,invalid_single_class_resamples_retained_no_redraw
a1_5,S0_full13,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S1_no_termination,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S1_no_termination,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S1_no_termination,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.0748663101604278,0.09090909090909091,0.041666666666666664,0.2109090909090909,0.16924242424242425,invalid_single_class_resamples_retained_no_redraw
a1_5,S1_no_termination,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.09523809523809523,0.09523809523809523,0.0,0.3,0.3,invalid_single_class_resamples_retained_no_redraw
a1_5,S1_no_termination,webarena,8,79,22,ap,10000,9869,131,0.9869,0.07222148910408596,0.07592871785590047,0.0196078431372549,0.18649471728392406,0.16688687414666914,invalid_single_class_resamples_retained_no_redraw
a1_5,S1_no_termination,webarena,8,79,22,f1,10000,9869,131,0.9869,0.08163265306122448,0.0784313725490196,0.0,0.24489795918367346,0.24489795918367346,invalid_single_class_resamples_retained_no_redraw
a1_5,S1_no_termination,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.03479010925819437,0.041666666666666664,0.02,0.09166666666666667,0.07166666666666667,invalid_single_class_resamples_retained_no_redraw
a1_5,S1_no_termination,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S2_no_repetition,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S2_no_repetition,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
