target,held_out_group,variant_id,config_id,inner_n_splits,inner_oof_size,inner_oof_pr_auc,selected,tie_break_rank
looping,workarena,S0_full13,B2_C10p0_cw_none,5,136,0.8168396782516834,False,3
looping,workarena,S0_full13,B2_C0p1_cw_balanced,5,136,0.8562751613590762,True,4
looping,workarena,S0_full13,B2_C1p0_cw_balanced,5,136,0.8207014089515882,False,5
looping,workarena,S0_full13,B2_C10p0_cw_balanced,5,136,0.8175463300351422,False,6
success,assistantbench,S1_no_termination,B2_C0p1_cw_none,5,168,0.48023750109623564,False,1
success,assistantbench,S1_no_termination,B2_C1p0_cw_none,5,168,0.47110465652375766,False,2
success,assistantbench,S1_no_termination,B2_C10p0_cw_none,5,168,0.4840071884575092,False,3
success,assistantbench,S1_no_termination,B2_C0p1_cw_balanced,5,168,0.48292681045551084,False,4
success,assistantbench,S1_no_termination,B2_C1p0_cw_balanced,5,168,0.4745875770307181,False,5
success,assistantbench,S1_no_termination,B2_C10p0_cw_balanced,5,168,0.4936214809832722,True,6
success,visualwebarena,S1_no_termination,B2_C0p1_cw_none,5,168,0.39289213482683805,False,1
success,visualwebarena,S1_no_termination,B2_C1p0_cw_none,5,168,0.49462955991664714,False,2
success,visualwebarena,S1_no_termination,B2_C10p0_cw_none,5,168,0.5386652163551064,False,3
success,visualwebarena,S1_no_termination,B2_C0p1_cw_balanced,5,168,0.3889501796260521,False,4
success,visualwebarena,S1_no_termination,B2_C1p0_cw_balanced,5,168,0.49828476090745943,False,5
success,visualwebarena,S1_no_termination,B2_C10p0_cw_balanced,5,168,0.5496033804693485,True,6
success,webarena,S1_no_termination,B2_C0p1_cw_none,5,108,0.637654214431277,False,1
success,webarena,S1_no_termination,B2_C1p0_cw_none,5,108,0.6926225553201146,True,2
success,webarena,S1_no_termination,B2_C10p0_cw_none,5,108,0.6571534090350407,False,3
success,webarena,S1_no_termination,B2_C0p1_cw_balanced,5,108,0.6190489190520286,False,4
success,webarena,S1_no_termination,B2_C1p0_cw_balanced,5,108,0.6755844385716835,False,5
success,webarena,S1_no_termination,B2_C10p0_cw_balanced,5,108,0.671902287899754,False,6
success,workarena,S1_no_termination,B2_C0p1_cw_none,5,132,0.4397683007868435,False,1
success,workarena,S1_no_termination,B2_C1p0_cw_none,5,132,0.4800562738706614,False,2
success,workarena,S1_no_termination,B2_C10p0_cw_none,5,132,0.4845987559748696,False,3
success,workarena,S1_no_termination,B2_C0p1_cw_balanced,5,132,0.4582474652861275,False,4
success,workarena,S1_no_termination,B2_C1p0_cw_balanced,5,132,0.49879097777406306,True,5
success,workarena,S1_no_termination,B2_C10p0_cw_balanced,5,132,0.4971899311147989,False,6
side_effect,assistantbench,S1_no_termination,B2_C0p1_cw_none,5,171,0.09611158747634851,True,1
side_effect,assistantbench,S1_no_termination,B2_C1p0_cw_none,5,171,0.08284653661073929,False,2
side_effect,assistantbench,S1_no_termination,B2_C10p0_cw_none,5,171,0.07982875195459534,False,3
side_effect,assistantbench,S1_no_termination,B2_C0p1_cw_balanced,5,171,0.08927583771542591,False,4
side_effect,assistantbench,S1_no_termination,B2_C1p0_cw_balanced,5,171,0.07755048305094744,False,5
side_effect,assistantbench,S1_no_termination,B2_C10p0_cw_balanced,5,171,0.07540992276943832,False,6
side_effect,visualwebarena,S1_no_termination,B2_C0p1_cw_none,5,171,0.06221197325606672,True,1
side_effect,visualwebarena,S1_no_termination,B2_C1p0_cw_none,5,171,0.05688288052716683,False,2
side_effect,visualwebarena,S1_no_termination,B2_C10p0_cw_none,5,171,0.057230518942489116,False,3
side_effect,visualwebarena,S1_no_termination,B2_C0p1_cw_balanced,5,171,0.061412251514454945,False,4
side_effect,visualwebarena,S1_no_termination,B2_C1p0_cw_balanced,5,171,0.057056152549003175,False,5
side_effect,visualwebarena,S1_no_termination,B2_C10p0_cw_balanced,5,171,0.05858400555135021,False,6
side_effect,webarena,S1_no_termination,B2_C0p1_cw_none,4,108,0.04696035743760494,False,1
side_effect,webarena,S1_no_termination,B2_C1p0_cw_none,4,108,0.058931270001185254,False,2
side_effect,webarena,S1_no_termination,B2_C10p0_cw_none,4,108,0.06374078624078625,False,3
side_effect,webarena,S1_no_termination,B2_C0p1_cw_balanced,4,108,0.05807231983702572,False,4
side_effect,webarena,S1_no_termination,B2_C1p0_cw_balanced,4,108,0.06800846212610918,False,5
side_effect,webarena,S1_no_termination,B2_C10p0_cw_balanced,4,108,0.06939817724701446,True,6
side_effect,workarena,S1_no_termination,B2_C0p1_cw_none,5,135,0.09845264255440542,False,1
side_effect,workarena,S1_no_termination,B2_C1p0_cw_none,5,135,0.09655953478129617,False,2
side_effect,workarena,S1_no_termination,B2_C10p0_cw_none,5,135,0.08669237121921455,False,3
side_effect,workarena,S1_no_termination,B2_C0p1_cw_balanced,5,135,0.10097325079085287,True,4
side_effect,workarena,S1_no_termination,B2_C1p0_cw_balanced,5,135,0.0965268368375702,False,5
side_effect,workarena,S1_no_termination,B2_C10p0_cw_balanced,5,135,0.09181390232970144,False,6
looping,assistantbench,S1_no_termination,B2_C0p1_cw_none,5,172,0.8718099495697392,False,1
looping,assistantbench,S1_no_termination,B2_C1p0_cw_none,5,172,0.8973638393990353,False,2
looping,assistantbench,S1_no_termination,B2_C10p0_cw_none,5,172,0.8735191650194646,False,3
looping,assistantbench,S1_no_termination,B2_C0p1_cw_balanced,5,172,0.8670388925321009,False,4
looping,assistantbench,S1_no_termination,B2_C1p0_cw_balanced,5,172,0.8976420859163166,True,5
looping,assistantbench,S1_no_termination,B2_C10p0_cw_balanced,5,172,0.8724263345089547,False,6
looping,visualwebarena,S1_no_termination,B2_C0p1_cw_none,5,172,0.8899248710435639,True,1
looping,visualwebarena,S1_no_termination,B2_C1p0_cw_none,5,172,0.8889843313813544,False,2
looping,visualwebarena,S1_no_termination,B2_C10p0_cw_none,5,172,0.8792198237483712,False,3
looping,visualwebarena,S1_no_termination,B2_C0p1_cw_balanced,5,172,0.8882625507719886,False,4
looping,visualwebarena,S1_no_termination,B2_C1p0_cw_balanced,5,172,0.8877181210721452,False,5
looping,visualwebarena,S1_no_termination,B2_C10p0_cw_balanced,5,172,0.8795156489593184,False,6
looping,webarena,S1_no_termination,B2_C0p1_cw_none,5,108,0.8958882058350074,False,1
looping,webarena,S1_no_termination,B2_C1p0_cw_none,5,108,0.9287962945009125,False,2
looping,webarena,S1_no_termination,B2_C10p0_cw_none,5,108,0.9359641119925954,False,3
looping,webarena,S1_no_termination,B2_C0p1_cw_balanced,5,108,0.8962369876677465,False,4
looping,webarena,S1_no_termination,B2_C1p0_cw_balanced,5,108,0.9285463065195654,False,5
looping,webarena,S1_no_termination,B2_C10p0_cw_balanced,5,108,0.9365915926398329,True,6
looping,workarena,S1_no_termination,B2_C0p1_cw_none,5,136,0.8496965732712435,False,1
looping,workarena,S1_no_termination,B2_C1p0_cw_none,5,136,0.824736525386188,False,2
looping,workarena,S1_no_termination,B2_C10p0_cw_none,5,136,0.8186532986408791,False,3
looping,workarena,S1_no_termination,B2_C0p1_cw_balanced,5,136,0.8553527610921067,True,4
looping,workarena,S1_no_termination,B2_C1p0_cw_balanced,5,136,0.8219771962680045,False,5
looping,workarena,S1_no_termination,B2_C10p0_cw_balanced,5,136,0.8202197583573143,False,6
success,assistantbench,S2_no_repetition,B2_C0p1_cw_none,5,168,0.4962450322898989,False,1
success,assistantbench,S2_no_repetition,B2_C1p0_cw_none,5,168,0.5235437691057481,False,2
success,assistantbench,S2_no_repetition,B2_C10p0_cw_none,5,168,0.5158223139579228,False,3
success,assistantbench,S2_no_repetition,B2_C0p1_cw_balanced,5,168,0.49851534462340186,False,4
success,assistantbench,S2_no_repetition,B2_C1p0_cw_balanced,5,168,0.5279657676398815,True,5
success,assistantbench,S2_no_repetition,B2_C10p0_cw_balanced,5,168,0.5204446835537689,False,6
success,visualwebarena,S2_no_repetition,B2_C0p1_cw_none,5,168,0.4262436482510591,False,1
success,visualwebarena,S2_no_repetition,B2_C1p0_cw_none,5,168,0.5239159765104328,False,2
success,visualwebarena,S2_no_repetition,B2_C10p0_cw_none,5,168,0.6003678573792064,True,3
success,visualwebarena,S2_no_repetition,B2_C0p1_cw_balanced,5,168,0.42254707872673003,False,4
success,visualwebarena,S2_no_repetition,B2_C1p0_cw_balanced,5,168,0.516584321304401,False,5
