metric_name,target,exact_value,display_value,source_artifact,table_id,figure_id,allowed_sections,rounding_rule,verified
extraction_ms_per_trajectory,All,2370.268617346984,2.37e3,artifacts/a2_3_table_2_efficiency_tradeoff.csv,Table2_Efficiency_Complexity,,Abstract optional;Results R4;Discussion;Limitations,latency_3_significant_digits,true
inference_ms_per_trajectory,All,0.0018030612929058926,0.001803,artifacts/a2_3_table_2_efficiency_tradeoff.csv,Table2_Efficiency_Complexity,,Abstract optional;Results R4;Discussion;Limitations,latency_4_significant_digits,true
representation_size_bytes,All,802944,784 KiB,artifacts/a2_3_table_2_efficiency_tradeoff.csv,Table2_Efficiency_Complexity,,Abstract optional;Results R4;Discussion;Limitations,bytes_to_KiB_3_significant_digits,true
classifier_size_bytes,All,8536,8.34 KiB,artifacts/a2_3_table_2_efficiency_tradeoff.csv,Table2_Efficiency_Complexity,,Abstract optional;Results R4;Discussion;Limitations,bytes_to_KiB_3_significant_digits,true
encoder_size_bytes,All,1191586416,1.16e6 KiB,artifacts/a2_3_table_2_efficiency_tradeoff.csv,Table2_Efficiency_Complexity,,Abstract optional;Results R4;Discussion;Limitations,bytes_to_KiB_3_significant_digits,true
peak_cpu_rss_mb,All,2163.0234375,2.16e3 MiB,artifacts/a2_3_table_2_efficiency_tradeoff.csv,Table2_Efficiency_Complexity,,Abstract optional;Results R4;Discussion;Limitations,memory_3_significant_digits,true
peak_gpu_vram_mb,All,1536.0,1.54e3 MiB,artifacts/a2_3_table_2_efficiency_tradeoff.csv,Table2_Efficiency_Complexity,,Abstract optional;Results R4;Discussion;Limitations,memory_3_significant_digits,true
point_estimate,success,0.5460325657667283,0.546,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,side_effect,0.2256074459108069,0.226,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,looping,0.9045369820471402,0.905,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,success,0.4798096424543246,0.480,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,side_effect,0.11194123811143843,0.112,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,looping,0.8508412981380737,0.851,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,success,0.8604552991594263,0.860,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,side_effect,0.6226307189542484,0.623,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,looping,0.9145954551921753,0.915,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,success,0.5115987974378046,0.512,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,looping,0.8191435228896013,0.819,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
