method,representation,dimension,device,cold_start_seconds,extraction_ms_per_trajectory,inference_ms_per_trajectory,representation_size_bytes,classifier_size_bytes,encoder_size_bytes,peak_cpu_rss_mb,peak_gpu_vram_mb,relative_cost,environment_specific,evidence_status,source_artifacts
B2,frozen structural full13,13,cpu,0.9577901,0.01343163276775455,0.0007025510243767379,20512,1184,NA,155.09765625,NA,B2 reference,true,EFFICIENCY_BENCHMARK,artifacts/a2_1_efficiency_summary.csv;artifacts/a2_1_efficiency_relative_cost.csv
B4,frozen Qwen3 dense semantic,1024,cuda:0,7.8807164,2370.268617346984,0.0018030612929058926,802944,8536,1191586416,2163.0234375,1536.0,dimension_ratio_B4_over_B2=78.76923076923077;representation_size_ratio_B4_over_B2=39.14508580343214;extraction_time_ratio_B4_over_B2=176469.13508812647;classifier_inference_ratio_B4_over_B2=2.5664488846279356;peak_memory_ratio_B4_over_B2=13.946203248961089,true,EFFICIENCY_BENCHMARK,artifacts/a2_1_efficiency_summary.csv;artifacts/a2_1_efficiency_relative_cost.csv
