target,eligible_n,positive_n,negative_n,prevalence,pooled_ap,ap_lift,f1_at_0_5,b2_frozen_dev_ap,b2_frozen_dev_f1,evidence_status
success,192,58,134,0.3020833333333333,0.3705913858043187,0.0685080524709854,0.43356643356643354,0.5465428107647715,0.6612903225806451,POST_FREEZE_DIAGNOSTIC
looping,196,92,104,0.46938775510204084,0.5686989238427644,0.0993111687407236,0.5654450261780105,0.9140810084290651,0.9109947643979057,POST_FREEZE_DIAGNOSTIC
